major_field,time_to_degree,year,md_years
All fields,Since bachelor's,1990,10.6
All fields,Since starting graduate school,1990,8.700000000000001
All fields,Since starting doctoral program,1990,NA
Life sciences,Since bachelor's,1990,9.200000000000001
Life sciences,Since starting graduate school,1990,7.7
Life sciences,Since starting doctoral program,1990,NA
Physical sciences and earth sciences,Since bachelor's,1990,7.5
Physical sciences and earth sciences,Since starting graduate school,1990,6.7
Physical sciences and earth sciences,Since starting doctoral program,1990,NA
Mathematics and computer sciences,Since bachelor's,1990,8.3
Mathematics and computer sciences,Since starting graduate school,1990,7.2
Mathematics and computer sciences,Since starting doctoral program,1990,NA
Psychology and social sciences,Since bachelor's,1990,10.8
Psychology and social sciences,Since starting graduate school,1990,8.9
Psychology and social sciences,Since starting doctoral program,1990,NA
Engineering,Since bachelor's,1990,8.3
Engineering,Since starting graduate school,1990,6.7
Engineering,Since starting doctoral program,1990,NA
Education,Since bachelor's,1990,18
Education,Since starting graduate school,1990,14.7
Education,Since starting doctoral program,1990,NA
Humanities and arts,Since bachelor's,1990,12.3
Humanities and arts,Since starting graduate school,1990,10.7
Humanities and arts,Since starting doctoral program,1990,NA
Other,Since bachelor's,1990,13.2
Other,Since starting graduate school,1990,10.3
Other,Since starting doctoral program,1990,NA
Other,Since starting doctoral program,1990,NA
Other,Since starting doctoral program,1990,NA
Other,Since starting doctoral program,1990,NA
Other,Since starting doctoral program,1990,NA
Other,Since starting doctoral program,1990,NA
All fields,Since bachelor's,1995,10.9
All fields,Since starting graduate school,1995,8.700000000000001
All fields,Since starting doctoral program,1995,NA
Life sciences,Since bachelor's,1995,9.5
Life sciences,Since starting graduate school,1995,7.7
Life sciences,Since starting doctoral program,1995,NA
Physical sciences and earth sciences,Since bachelor's,1995,8.1
Physical sciences and earth sciences,Since starting graduate school,1995,6.9
Physical sciences and earth sciences,Since starting doctoral program,1995,NA
Mathematics and computer sciences,Since bachelor's,1995,9
Mathematics and computer sciences,Since starting graduate school,1995,7.7
Mathematics and computer sciences,Since starting doctoral program,1995,NA
Psychology and social sciences,Since bachelor's,1995,10.6
Psychology and social sciences,Since starting graduate school,1995,8.700000000000001
Psychology and social sciences,Since starting doctoral program,1995,NA
Engineering,Since bachelor's,1995,9.200000000000001
Engineering,Since starting graduate school,1995,7.3
Engineering,Since starting doctoral program,1995,NA
Education,Since bachelor's,1995,19.9
Education,Since starting graduate school,1995,15.7
Education,Since starting doctoral program,1995,NA
Humanities and arts,Since bachelor's,1995,12.1
Humanities and arts,Since starting graduate school,1995,10.1
Humanities and arts,Since starting doctoral program,1995,NA
Other,Since bachelor's,1995,13.2
Other,Since starting graduate school,1995,10.3
Other,Since starting doctoral program,1995,NA
Other,Since starting doctoral program,1995,NA
Other,Since starting doctoral program,1995,NA
Other,Since starting doctoral program,1995,NA
Other,Since starting doctoral program,1995,NA
Other,Since starting doctoral program,1995,NA
All fields,Since bachelor's,2000,10.3
All fields,Since starting graduate school,2000,8.5
All fields,Since starting doctoral program,2000,NA
Life sciences,Since bachelor's,2000,9.1
Life sciences,Since starting graduate school,2000,7.7
Life sciences,Since starting doctoral program,2000,NA
Physical sciences and earth sciences,Since bachelor's,2000,7.6
Physical sciences and earth sciences,Since starting graduate school,2000,6.7
Physical sciences and earth sciences,Since starting doctoral program,2000,NA
Mathematics and computer sciences,Since bachelor's,2000,8.700000000000001
Mathematics and computer sciences,Since starting graduate school,2000,7.2
Mathematics and computer sciences,Since starting doctoral program,2000,NA
Psychology and social sciences,Since bachelor's,2000,9.9
Psychology and social sciences,Since starting graduate school,2000,7.9
Psychology and social sciences,Since starting doctoral program,2000,NA
Engineering,Since bachelor's,2000,8.700000000000001
Engineering,Since starting graduate school,2000,7.2
Engineering,Since starting doctoral program,2000,NA
Education,Since bachelor's,2000,19.4
Education,Since starting graduate school,2000,14.2
Education,Since starting doctoral program,2000,NA
Humanities and arts,Since bachelor's,2000,11.6
Humanities and arts,Since starting graduate school,2000,9.700000000000001
Humanities and arts,Since starting doctoral program,2000,NA
Other,Since bachelor's,2000,13.6
Other,Since starting graduate school,2000,10.200000000000001
Other,Since starting doctoral program,2000,NA
Other,Since starting doctoral program,2000,NA
Other,Since starting doctoral program,2000,NA
Other,Since starting doctoral program,2000,NA
Other,Since starting doctoral program,2000,NA
Other,Since starting doctoral program,2000,NA
All fields,Since bachelor's,2005,9.9
All fields,Since starting graduate school,2005,8.200000000000001
All fields,Since starting doctoral program,2005,NA
Life sciences,Since bachelor's,2005,8.700000000000001
Life sciences,Since starting graduate school,2005,7.1
Life sciences,Since starting doctoral program,2005,NA
Physical sciences and earth sciences,Since bachelor's,2005,7.5
Physical sciences and earth sciences,Since starting graduate school,2005,6.6
Physical sciences and earth sciences,Since starting doctoral program,2005,NA
Mathematics and computer sciences,Since bachelor's,2005,8.3
Mathematics and computer sciences,Since starting graduate school,2005,7.2
Mathematics and computer sciences,Since starting doctoral program,2005,NA
Psychology and social sciences,Since bachelor's,2005,10
Psychology and social sciences,Since starting graduate school,2005,8.200000000000001
Psychology and social sciences,Since starting doctoral program,2005,NA
Engineering,Since bachelor's,2005,8.3
Engineering,Since starting graduate school,2005,7.3
Engineering,Since starting doctoral program,2005,NA
Education,Since bachelor's,2005,17.4
Education,Since starting graduate school,2005,13
Education,Since starting doctoral program,2005,NA
Humanities and arts,Since bachelor's,2005,12
Humanities and arts,Since starting graduate school,2005,9.9
Humanities and arts,Since starting doctoral program,2005,NA
Other,Since bachelor's,2005,13
Other,Since starting graduate school,2005,10.3
Other,Since starting doctoral program,2005,NA
Other,Since starting doctoral program,2005,NA
Other,Since starting doctoral program,2005,NA
Other,Since starting doctoral program,2005,NA
Other,Since starting doctoral program,2005,NA
Other,Since starting doctoral program,2005,NA
All fields,Since bachelor's,2010,9.3
All fields,Since starting graduate school,2010,7.7
All fields,Since starting doctoral program,2010,NA
Life sciences,Since bachelor's,2010,8.6
Life sciences,Since starting graduate school,2010,6.8
Life sciences,Since starting doctoral program,2010,NA
Physical sciences and earth sciences,Since bachelor's,2010,7.3
Physical sciences and earth sciences,Since starting graduate school,2010,6.5
Physical sciences and earth sciences,Since starting doctoral program,2010,NA
Mathematics and computer sciences,Since bachelor's,2010,8
Mathematics and computer sciences,Since starting graduate school,2010,7
Mathematics and computer sciences,Since starting doctoral program,2010,NA
Psychology and social sciences,Since bachelor's,2010,9.5
Psychology and social sciences,Since starting graduate school,2010,7.7
Psychology and social sciences,Since starting doctoral program,2010,NA
Engineering,Since bachelor's,2010,7.8
Engineering,Since starting graduate school,2010,6.9
Engineering,Since starting doctoral program,2010,NA
Education,Since bachelor's,2010,16.2
Education,Since starting graduate school,2010,12.5
Education,Since starting doctoral program,2010,NA
Humanities and arts,Since bachelor's,2010,11.6
Humanities and arts,Since starting graduate school,2010,9.5
Humanities and arts,Since starting doctoral program,2010,NA
Other,Since bachelor's,2010,12.1
Other,Since starting graduate school,2010,9.3
Other,Since starting doctoral program,2010,NA
Other,Since starting doctoral program,2010,NA
Other,Since starting doctoral program,2010,NA
Other,Since starting doctoral program,2010,NA
Other,Since starting doctoral program,2010,NA
Other,Since starting doctoral program,2010,NA
All fields,Since bachelor's,2015,8.7
All fields,Since starting graduate school,2015,7.3
All fields,Since starting doctoral program,2015,5.7
Life sciences,Since bachelor's,2015,8.2
Life sciences,Since starting graduate school,2015,6.7
Life sciences,Since starting doctoral program,2015,5.7
Physical sciences and earth sciences,Since bachelor's,2015,7
Physical sciences and earth sciences,Since starting graduate school,2015,6.2
